"# Program:featureCounts v2.0.1; Command:""featureCounts"" ""-p"" ""-B"" ""-s"" ""2"" ""-t"" ""gene"" ""-g"" ""locus_tag"" ""-a"" ""00_genome/genomic.gff"" ""-o"" ""HCA_featureCounts_2021.txt"" ""bams/aAWT_B_noglu_24_S19_SP_sorted.bam"" ""bams/aBWT_C_noglu_24_S20_SP_sorted.bam"" ""bams/aCWT_D_noglu_24_S21_SP_sorted.bam"" ""bams/aFTrmB_C_noglu_24_S48_S1_sorted.bam"" ""bams/aGTrmB_D_noglu_24_S42_S1_sorted.bam"" ""bams/HCA_ref_RNA_S7_S1_sorted.bam"" ""bams/JTrmB_A_glu_48_S45_S1_sorted.bam"" ""bams/LTrmB_C_glu_48_S8_S1_sorted.bam"" ""bams/NTrmB_A_noglu_48_S9_S1_sorted.bam"" ""bams/OTrmB_B_noglu_48_S24_S1_sorted.bam"" ""bams/QTrmB_D_noglu_48_S10_S1_sorted.bam"" ""bams/RWT_A_glu_24_S41_S1_sorted.bam"" ""bams/SWT_B_glu_24_S16_SP_sorted.bam"" ""bams/TWT_C_glu_24_S17_SP_sorted.bam"" ""bams/UWT_D_glu_24_S46_S1_sorted.bam"" ""bams/VTrmB_A_glu_24_S25_S1_sorted.bam"" ""bams/WTrmB_B_glu_24_S11_S1_sorted.bam"" ""bams/XTrmB_C_glu_24_S26_S1_sorted.bam"" ""bams/YTrmB_D_glu_24_S18_SP_sorted.bam"" ""bams/ZWT_A_noglu_24_S47_S1_sorted.bam"" "																									
Geneid	Chr	Start	End	Strand	Length	bams/aAWT_B_noglu_24_S19_SP_sorted.bam	bams/aBWT_C_noglu_24_S20_SP_sorted.bam	bams/aCWT_D_noglu_24_S21_SP_sorted.bam	bams/aFTrmB_C_noglu_24_S48_S1_sorted.bam	bams/HCA_ref_RNA_S7_S1_sorted.bam	bams/aGTrmB_D_noglu_24_S42_S1_sorted.bam	bams/JTrmB_A_glu_48_S45_S1_sorted.bam	bams/LTrmB_C_glu_48_S8_S1_sorted.bam	bams/NTrmB_A_noglu_48_S9_S1_sorted.bam	bams/OTrmB_B_noglu_48_S24_S1_sorted.bam	bams/QTrmB_D_noglu_48_S10_S1_sorted.bam	bams/RWT_A_glu_24_S41_S1_sorted.bam	bams/SWT_B_glu_24_S16_SP_sorted.bam	bams/TWT_C_glu_24_S17_SP_sorted.bam	bams/UWT_D_glu_24_S46_S1_sorted.bam	bams/VTrmB_A_glu_24_S25_S1_sorted.bam	bams/WTrmB_B_glu_24_S11_S1_sorted.bam	bams/XTrmB_C_glu_24_S26_S1_sorted.bam	bams/YTrmB_D_glu_24_S18_SP_sorted.bam	bams/ZWT_A_noglu_24_S47_S1_sorted.bam
HAH_RS10635	NC_015948.1	2120340	2120846	-	507	199	422	554	940	345	772	768	644	345	903	233	504	569	657	917	686	410	580	633	470
HAH_RS10640	NC_015948.1	2120931	2121422	-	492	653	1474	1537	994	1177	888	1351	1159	1020	1256	476	1015	1124	1135	1151	1353	1184	1019	1470	1452
HAH_RS10645	NC_015948.1	2121571	2122143	-	573	371	811	866	445	764	321	677	450	508	394	200	548	437	446	494	389	621	450	765	875
HAH_RS10650	NC_015948.1	2122140	2122889	-	750	412	974	935	623	931	415	658	526	655	514	277	606	554	495	547	649	693	529	820	988
HAH_RS10655	NC_015948.1	2122886	2123785	-	900	455	1052	906	643	1147	378	730	658	595	425	236	720	614	577	570	641	762	569	960	1150
HAH_RS10660	NC_015948.1	2123979	2125283	+	1305	14949	30055	37192	21958	38319	21111	15979	17417	25127	23628	11878	18880	22636	27539	31285	21098	23286	20905	26366	34018
HAH_RS10665	NC_015948.1	2125616	2125798	-	183	62	157	124	39	124	23	310	269	46	85	19	133	118	150	142	171	165	130	240	192
HAH_RS10670	NC_015948.1	2125932	2126762	-	831	1437	2993	2264	1107	643	942	6160	3219	703	796	391	2737	3253	1671	1073	3824	2915	2607	4410	2141
HAH_RS10675	NC_015948.1	2126906	2127667	-	762	606	1261	918	490	910	442	1064	825	401	475	199	792	915	773	618	878	852	804	1002	1113
HAH_RS10680	NC_015948.1	2127748	2128155	-	408	7388	17591	14753	4318	8361	4403	5372	3787	3526	4596	1467	9221	7960	8179	7266	10716	8180	8247	10848	13520
HAH_RS10685	NC_015948.1	2128264	2131032	-	2769	5134	10631	10586	5361	6798	5304	4026	4113	3751	3318	1619	3940	4025	4258	4597	3980	4038	3993	4651	9475
HAH_RS10690	NC_015948.1	2131270	2131875	-	606	538	1121	827	1290	911	1237	815	789	1323	1234	551	613	746	579	471	574	721	595	921	911
HAH_RS10695	NC_015948.1	2131893	2132534	-	642	588	1241	1099	1738	1006	1413	989	961	1350	1723	703	636	855	630	566	787	769	714	964	1146
HAH_RS10700	NC_015948.1	2132610	2133212	+	603	2391	5002	3897	6028	2107	6517	3537	3363	3666	4801	2031	1983	2845	2030	1582	2430	2442	2477	3416	4336
HAH_RS10705	NC_015948.1	2133277	2133528	-	252	487	757	924	476	3161	310	2868	3675	226	559	148	1374	2213	2403	2110	1559	1844	1851	2097	1067
HAH_RS10710	NC_015948.1	2133636	2133770	-	135	1283	2573	2597	2594	4404	2112	3396	3253	1948	4076	968	2408	2960	3694	3649	3595	2609	2934	3639	3682
HAH_RS10715	NC_015948.1	2133797	2134105	-	309	4778	10008	11034	10152	19086	9330	8139	9736	9758	14798	4607	7526	9077	11750	13792	9765	9415	9325	11163	12283
HAH_RS10720	NC_015948.1	2134181	2134405	+	225	53	102	109	139	174	73	157	140	91	171	36	138	143	175	162	155	119	137	151	154
HAH_RS10725	NC_015948.1	2134441	2135085	+	645	987	2487	2252	972	1565	824	2211	1642	899	1283	492	2148	2635	2179	1619	3116	2266	2016	3091	2106
HAH_RS10730	NC_015948.1	2135107	2135835	-	729	768	1575	1756	1696	1793	1634	1023	1422	987	1810	590	814	1159	1258	1532	993	1015	1053	1282	1648
HAH_RS10735	NC_015948.1	2135896	2136732	-	837	606	1284	1229	660	1114	522	1058	872	760	814	355	997	1165	1155	1047	1339	1037	1014	1431	1201
HAH_RS10740	NC_015948.1	2136877	2137179	+	303	167	321	368	147	579	159	298	278	226	251	92	312	311	401	379	444	340	346	438	285
HAH_RS10745	NC_015948.1	2137176	2137685	+	510	252	559	549	246	744	249	463	404	363	375	164	490	555	608	591	647	563	543	650	456
HAH_RS10750	NC_015948.1	2137823	2138212	+	390	5567	11723	14017	9214	17153	7690	11968	9653	7756	10769	3970	10439	10483	13262	16277	11647	11213	10829	13857	13925
HAH_RS10755	NC_015948.1	2138217	2138453	+	237	1173	2722	2849	1912	3825	1517	3297	2970	1433	2448	733	2140	2691	3159	3322	3690	2357	2431	3229	3418
HAH_RS10760	NC_015948.1	2138507	2138833	-	327	493	1120	925	1430	914	1223	1217	1376	721	1658	391	652	887	853	738	962	808	856	1171	1131
HAH_RS10765	NC_015948.1	2138912	2139463	-	552	38	70	83	41	109	47	106	79	31	45	18	66	67	80	57	83	77	82	114	91
HAH_RS10770	NC_015948.1	2139782	2140243	+	462	848	1655	1220	1529	601	1290	2596	1638	968	1835	653	1447	1511	993	524	2030	1530	1479	2098	1329
HAH_RS10775	NC_015948.1	2140287	2140961	+	675	550	1116	1039	1270	1041	1042	1199	945	956	1254	519	793	922	713	579	870	894	798	1118	1100
HAH_RS10780	NC_015948.1	2141052	2143505	+	2454	1000	2386	1937	4549	746	4578	8070	8343	3914	3375	1658	3446	4613	2780	1459	4464	5302	4882	6189	1796
HAH_RS10785	NC_015948.1	2143605	2143904	+	300	77	202	133	64	71	44	358	352	46	75	18	177	362	303	164	354	328	277	361	151
HAH_RS10790	NC_015948.1	2144329	2145297	+	969	240	461	625	638	446	683	2115	1194	623	746	261	452	598	428	557	591	631	438	766	503
HAH_RS10795	NC_015948.1	2145372	2146880	-	1509	3915	6784	7453	8920	8529	7822	9634	15166	7573	9010	3964	5848	9487	8097	6026	6780	7891	7809	9143	7143
HAH_RS10800	NC_015948.1	2147077	2147421	-	345	368	816	928	312	1060	336	581	704	196	286	110	358	485	500	536	474	510	492	619	928
HAH_RS10805	NC_015948.1	2147504	2148052	+	549	496	1047	1107	980	740	912	1262	930	636	1171	374	723	826	763	697	923	767	756	1003	1045
HAH_RS10810	NC_015948.1	2148124	2149221	+	1098	112	216	221	177	319	154	221	275	131	178	63	160	161	194	227	185	140	148	203	245
HAH_RS10815	NC_015948.1	2149290	2149859	+	570	1680	3474	3509	5877	4007	5907	3222	3539	5035	7032	2600	2289	2916	3268	3600	2888	2718	2765	3380	3797
HAH_RS10820	NC_015948.1	2149915	2151771	+	1857	1597	3233	3286	2321	3367	1893	2649	3458	2884	3385	1194	2026	2706	2610	2769	2290	2560	2361	2939	3226
HAH_RS10825	NC_015948.1	2151999	2152083	-	85	24	36	50	66	128	18	92	101	16	56	10	46	40	68	84	41	42	49	59	48
HAH_RS10830	NC_015948.1	2152169	2153116	+	948	2255	4789	5697	1058	3512	724	4283	3905	1197	1388	522	4672	5480	5730	5815	4299	5405	4743	6305	5088
HAH_RS10835	NC_015948.1	2153113	2153523	-	411	603	1186	1215	1214	1234	1116	1600	1713	756	1450	439	722	1111	962	833	660	866	866	1015	1459
HAH_RS10840	NC_015948.1	2153530	2154948	-	1419	10068	20478	14924	26857	7919	30624	15498	14610	19630	22118	11575	8892	12397	9276	7009	10217	11143	9993	13786	15921
HAH_RS10845	NC_015948.1	2155169	2155696	+	528	408	782	653	415	568	421	651	620	336	369	133	604	602	549	609	575	591	515	768	755
HAH_RS10850	NC_015948.1	2155718	2157436	-	1719	5080	9439	8609	10753	8946	10095	11199	9847	8829	9380	4490	6707	7694	6696	6140	6895	7771	6459	9488	9039
HAH_RS10855	NC_015948.1	2157455	2157811	-	357	1309	2583	2576	3315	2117	2553	3659	2607	1926	2761	1128	2003	2274	1998	1779	2771	2143	2058	2843	2560
HAH_RS10860	NC_015948.1	2157861	2158637	-	777	356	772	924	916	1087	636	708	653	690	1037	384	646	787	976	1001	766	751	758	917	924
HAH_RS10865	NC_015948.1	2158749	2159675	+	927	1082	2273	2260	1958	1911	1819	2264	1781	1503	2045	903	1346	1682	1226	841	1634	1533	1343	2012	2230
HAH_RS10870	NC_015948.1	2159663	2160310	-	648	3157	7629	5740	8756	1526	6853	5320	4896	2816	4371	1708	6972	9893	11495	8196	10359	11172	9222	11805	5416
HAH_RS10875	NC_015948.1	2160419	2160838	-	420	1007	1919	1599	1796	1096	1142	3064	2285	805	1695	549	1800	2117	1664	1286	2659	2113	1911	2723	1814
HAH_RS10880	NC_015948.1	2160849	2161127	-	279	585	1164	1006	1370	661	781	2148	1490	484	1349	364	1084	1225	1044	852	1652	1125	1148	1632	1278
HAH_RS10885	NC_015948.1	2161169	2162515	-	1347	23286	48162	41871	68106	28215	71947	25629	25368	79826	77372	36574	22979	27334	27573	25642	24350	26631	25954	32681	41572
HAH_RS10890	NC_015948.1	2162512	2163159	-	648	1990	4132	4136	8046	2436	7314	2983	2881	4535	6886	2467	2641	3539	3825	3498	3796	3121	3047	4131	3535
HAH_RS10895	NC_015948.1	2163206	2164261	-	1056	5153	10638	10945	18359	7017	19381	9380	9752	12849	13715	6616	7633	9543	10698	10694	7696	8979	9145	11199	8846
HAH_RS10900	NC_015948.1	2164362	2164652	+	291	146	357	301	209	230	163	1439	1063	101	290	74	458	678	483	392	722	452	553	692	313
HAH_RS10905	NC_015948.1	2164740	2165150	-	411	1646	2957	3675	4740	4869	3828	5808	6125	2892	5602	1825	3106	4259	4264	3992	3513	3764	3676	4442	3555
HAH_RS10910	NC_015948.1	2165325	2165519	-	195	10304	22787	21387	17628	15323	14611	35658	22504	16186	24217	7318	24222	23241	22644	17894	30865	24791	21191	34060	23301
HAH_RS10915	NC_015948.1	2165522	2165716	-	195	13649	31561	30858	25780	21605	20443	51541	29632	25730	38999	11500	34679	29882	31424	27301	41979	33222	30581	47688	35017
HAH_RS10920	NC_015948.1	2165832	2166758	+	927	5148	11480	10666	13399	7164	11124	7616	6914	14097	15881	6487	9415	10315	10944	9670	9775	11283	9826	13139	9711
HAH_RS10925	NC_015948.1	2166763	2167371	-	609	1659	3355	3769	3712	6935	3185	3384	3517	3359	4706	1668	2640	3041	3460	3515	3108	2772	2702	3513	3896
HAH_RS10930	NC_015948.1	2167467	2168825	+	1359	4261	8589	9421	2951	10828	2734	4383	4883	2645	3359	1276	4219	6128	6036	5732	5142	5256	5148	6301	9384
HAH_RS10935	NC_015948.1	2168822	2169238	+	417	212	427	465	210	758	119	323	426	104	254	64	221	290	325	336	297	279	265	334	481
HAH_RS10940	NC_015948.1	2169235	2170572	-	1338	3994	8011	7657	8338	4404	6694	9430	8535	6064	8894	3559	5999	7343	6575	6471	6469	6660	6674	8406	7176
HAH_RS10945	NC_015948.1	2170755	2171465	-	711	367	844	651	527	516	469	761	460	457	609	229	556	724	524	456	751	653	586	784	622
HAH_RS10950	NC_015948.1	2171517	2171861	+	345	419	821	596	603	1018	575	1621	1645	446	757	258	847	1181	978	730	1161	954	1100	1312	744
HAH_RS10955	NC_015948.1	2171965	2172174	+	210	262	661	502	1651	117	1264	1204	764	1663	2744	802	673	880	863	480	1095	560	706	1005	607
HAH_RS10960	NC_015948.1	2172176	2173702	+	1527	3951	8785	6608	21075	1509	21140	10281	9173	29932	27836	13085	7883	10316	8873	5540	8890	8209	7919	10980	6737
HAH_RS10965	NC_015948.1	2173805	2174230	+	426	3989	8176	8412	4016	5733	3072	12338	11591	3666	4979	1987	8451	10360	10730	9812	11306	10316	9804	13158	8891
HAH_RS10970	NC_015948.1	2174303	2175220	+	918	1974	3838	4341	3692	3633	2666	5557	6007	2305	3548	1182	2686	3479	3561	3972	3128	3306	3280	4038	3915
HAH_RS10975	NC_015948.1	2175451	2178174	+	2724	7378	13299	15691	6618	22749	5388	7622	11326	6369	6222	2839	7670	9616	11795	12030	8082	9947	9342	11129	16557
HAH_RS19975	NC_015948.1	2178271	2178447	+	177	771	2087	1528	740	1374	616	2784	1914	844	1396	379	2191	2071	2080	1628	3571	2069	2218	3018	2009
HAH_RS10980	NC_015948.1	2178483	2179253	-	771	1546	3640	3582	2984	5194	3013	2379	2546	2926	3178	1366	2177	2503	2620	2444	2746	2724	2345	3073	3712
HAH_RS10985	NC_015948.1	2179420	2180328	+	909	9439	20687	20024	23039	15221	23401	20161	20657	26602	28112	11912	14025	18558	19077	18128	16714	17111	16827	21398	19782
HAH_RS10990	NC_015948.1	2180428	2181645	+	1218	1668	3057	3319	6949	4066	5773	5133	5429	4245	6241	2228	2353	3264	2981	2855	2800	2825	2611	3580	3696
HAH_RS10995	NC_015948.1	2181647	2181955	-	309	340	710	429	182	132	134	1076	526	105	209	79	419	487	192	85	764	440	354	639	545
HAH_RS11000	NC_015948.1	2182169	2182750	+	582	5292	11057	12645	15236	13225	14489	7855	8248	12935	19079	6889	6493	7290	8013	9494	7954	7647	7589	9042	12217
HAH_RS11005	NC_015948.1	2182797	2184812	+	2016	1300	2162	2491	2996	4060	2075	3908	4676	1246	2868	698	2038	2769	2810	2844	2011	2484	2575	2825	2591
HAH_RS11010	NC_015948.1	2184832	2185581	-	750	1851	3557	3230	4247	4590	4553	3784	3765	1439	2472	1008	2315	3153	2733	2391	2855	2735	2604	3470	3106
HAH_RS11015	NC_015948.1	2185763	2186449	+	687	2158	4502	4144	5303	5503	5223	5554	4647	3137	5059	1914	3174	3784	3193	2905	3709	3512	3389	4608	4266
HAH_RS11020	NC_015948.1	2186548	2187885	+	1338	5460	10258	11564	5613	20906	4758	6208	7198	5164	6186	2549	6048	7318	7508	6692	6152	7333	6675	8715	11120
HAH_RS11025	NC_015948.1	2188178	2188699	+	522	43	42	72	98	260	47	241	252	35	134	20	78	110	104	121	94	121	108	142	81
HAH_RS11030	NC_015948.1	2188820	2189527	-	708	3449	7044	6389	6489	5374	5707	5033	4132	6035	6982	3139	4077	5066	4077	2951	4691	4479	4275	5657	6773
HAH_RS11035	NC_015948.1	2189580	2190128	-	549	95	313	302	91	280	84	230	176	76	115	35	219	256	291	270	333	225	232	303	257
HAH_RS11040	NC_015948.1	2190183	2190752	-	570	41	86	124	430	150	379	234	217	171	337	124	116	159	191	194	127	158	138	185	104
HAH_RS11045	NC_015948.1	2190877	2191107	+	231	93	206	181	260	116	190	373	228	143	286	65	244	153	181	207	303	194	201	331	248
HAH_RS11050	NC_015948.1	2191108	2191482	+	375	283	607	566	504	327	482	658	544	319	448	183	502	548	481	385	497	541	490	685	470
HAH_RS11055	NC_015948.1	2191526	2193052	+	1527	5323	11733	11348	7679	11124	7916	10059	9169	10501	8651	4233	7636	9034	8518	7592	8453	8579	8276	10750	11360
HAH_RS11060	NC_015948.1	2193053	2194033	-	981	1802	3691	3945	542	5782	462	1371	1585	446	533	201	2361	2807	3242	3178	2668	3088	2589	3266	3811
HAH_RS11065	NC_015948.1	2194037	2194789	-	753	2467	5162	5299	860	6471	809	2084	2138	680	621	304	3304	3487	4095	4183	3389	3650	3456	4228	5116
HAH_RS11070	NC_015948.1	2194786	2195466	-	681	1796	3918	4119	796	5317	641	1997	2140	526	593	303	2454	2854	3336	3375	2487	2880	2679	3461	3949
HAH_RS11075	NC_015948.1	2195470	2196267	-	798	5094	10370	11519	2942	13041	2519	7929	8204	1931	2723	1016	7187	8128	9157	9917	6710	8053	7664	9722	11041
HAH_RS11080	NC_015948.1	2196332	2196820	-	489	1950	3946	4104	5927	3861	5525	4111	4028	4615	7318	2605	2342	3344	3402	3145	2828	2893	2721	3601	4241
HAH_RS11085	NC_015948.1	2196949	2198862	+	1914	1674	3885	3642	2058	4981	1889	1487	1175	2758	2715	1176	1556	1552	1721	1675	1774	1592	1503	2113	3341
HAH_RS11090	NC_015948.1	2199034	2201286	+	2253	36260	72435	63046	26867	70942	22893	20120	15568	40579	33823	17371	45897	43108	47024	36260	42441	45504	40097	54411	58335
HAH_RS11095	NC_015948.1	2201571	2201831	-	261	4637	11137	11031	3713	6003	3226	47612	29688	2206	4893	1463	26767	27543	20609	15867	29081	23916	26100	36753	9197
HAH_RS11100	NC_015948.1	2202165	2202827	-	663	9149	18024	14389	22524	7768	25782	29183	21364	14013	20495	9302	13361	19062	12000	8748	16041	16457	15483	22932	13612
HAH_RS11105	NC_015948.1	2203226	2203921	-	696	1230	2722	3745	3302	4932	2973	1869	1957	3671	4111	1542	1902	1977	2560	3185	2458	2179	2052	2464	3475
HAH_RS11110	NC_015948.1	2203992	2205374	-	1383	1462	3099	3456	2605	2854	2353	1340	1451	4931	3968	1754	1536	1895	2114	2321	1825	1885	1779	2124	3201
HAH_RS11115	NC_015948.1	2205663	2207012	-	1350	2480	5531	4300	3622	1336	2672	4557	3465	5299	4297	2198	3599	4200	2731	1772	4091	3880	3295	5016	4258
HAH_RS11120	NC_015948.1	2207091	2208494	-	1404	250	568	408	110	124	46	64	23	57	90	32	73	72	49	56	57	76	68	78	512
HAH_RS11125	NC_015948.1	2208654	2209625	+	972	771	1614	1224	559	719	440	3082	1534	313	487	207	1463	1794	727	293	2489	1658	1385	2362	1178
HAH_RS11130	NC_015948.1	2209647	2210570	-	924	890	1860	1933	2003	1587	1829	2194	1836	1432	2107	785	1726	2581	2099	1667	2083	2108	1973	2816	1479
HAH_RS11135	NC_015948.1	2210767	2211426	+	660	45	98	85	10	104	17	47	61	12	23	5	42	53	57	36	54	54	42	71	103
HAH_RS11140	NC_015948.1	2211423	2212187	+	765	103	306	284	38	212	39	112	115	42	55	18	143	134	170	153	212	151	136	192	236
HAH_RS11145	NC_015948.1	2212188	2213696	+	1509	120	351	268	43	219	44	96	92	92	65	33	129	149	118	105	130	123	113	163	299
HAH_RS11150	NC_015948.1	2213905	2214300	+	396	128	273	216	87	114	84	396	210	60	108	29	136	181	131	120	151	165	164	258	214
HAH_RS11155	NC_015948.1	2214354	2215046	-	693	5410	10015	11549	8012	16382	6206	15995	18372	3370	6166	2253	13671	19048	21835	19551	14458	15200	15280	18016	10303
HAH_RS11160	NC_015948.1	2215046	2215780	-	735	6366	11555	13317	8433	18572	6601	18814	20417	3815	6043	2422	15995	22199	25687	23362	14108	17617	17602	21350	12044
HAH_RS11165	NC_015948.1	2215850	2216188	-	339	1561	3108	3334	3003	4596	1683	5454	4581	1007	2965	641	3780	4747	5785	5241	5376	3490	3849	5046	3578
HAH_RS11170	NC_015948.1	2216266	2217009	+	744	542	1153	1030	163	825	132	544	375	320	272	124	496	554	548	359	581	438	523	624	1101
HAH_RS11175	NC_015948.1	2217051	2217638	+	588	937	1781	1622	1756	1720	1542	1322	1143	1449	1640	722	1087	1317	1318	1210	1146	1283	1122	1562	1912
HAH_RS11180	NC_015948.1	2217671	2218567	+	897	1187	2401	2370	2127	2438	1913	1497	1465	1650	2154	867	1423	2025	1862	1604	1958	1835	1580	2156	2184
HAH_RS11185	NC_015948.1	2218564	2219214	+	651	264	501	546	376	767	293	503	477	258	458	124	439	640	561	445	580	546	479	665	542
HAH_RS11190	NC_015948.1	2219298	2220170	-	873	405	1000	736	202	785	133	590	374	677	282	196	617	502	414	237	677	542	446	682	757
HAH_RS11195	NC_015948.1	2220167	2221234	-	1068	935	2206	1742	355	1874	293	1853	1005	1238	563	347	1506	1354	1047	924	2180	1275	985	1847	1735
HAH_RS11200	NC_015948.1	2221324	2221998	+	675	138	288	283	290	240	284	197	185	227	336	154	168	246	212	197	179	211	207	243	272
HAH_RS11205	NC_015948.1	2221995	2222756	-	762	94	171	256	68	209	53	91	77	60	64	31	87	115	169	150	100	123	117	121	344
HAH_RS11210	NC_015948.1	2222906	2223394	-	489	18	27	42	15	18	15	34	23	11	11	3	22	20	22	20	22	31	22	36	35
HAH_RS11215	NC_015948.1	2223605	2224309	+	705	5223	11458	12972	776	1452	925	993	1111	171	316	140	874	1135	1431	1575	1133	908	1024	1319	11282
HAH_RS11220	NC_015948.1	2224442	2225377	-	936	379	707	1060	105	519	96	310	306	142	141	86	329	504	575	582	440	392	469	528	1217
HAH_RS11225	NC_015948.1	2225534	2226955	+	1422	17770	40419	27786	3651	390	2706	16403	6053	3597	2102	1220	12176	11243	5940	2200	14120	11428	7903	17421	28525
HAH_RS11230	NC_015948.1	2226950	2227594	-	645	82	168	179	74	151	47	96	70	70	74	15	119	123	141	113	185	128	151	186	170
HAH_RS11235	NC_015948.1	2227676	2229424	+	1749	37343	74929	54859	10660	554	10350	17835	9561	7827	5388	3154	17994	17710	9554	4382	19398	19942	14815	26694	55521
HAH_RS11240	NC_015948.1	2229421	2230344	+	924	16430	35061	24461	5833	450	5712	7867	4352	4104	2815	1776	8147	8266	4561	1955	11790	9073	6823	12143	27079
HAH_RS11245	NC_015948.1	2230341	2231603	+	1263	29240	57982	41078	8773	503	7956	12371	6673	6143	4043	2570	12926	12475	6617	2945	15205	13672	10013	18149	44463
HAH_RS11250	NC_015948.1	2231600	2233174	+	1575	39717	80126	57143	10949	1164	10342	16924	9334	8439	5876	3550	18027	18369	9626	4613	21258	20038	14361	26337	60849
HAH_RS11255	NC_015948.1	2233182	2235752	-	2571	3534	6886	7255	6826	7343	6301	3545	3838	5840	4873	2479	4169	5202	5643	5705	4555	5290	4615	6038	6458
HAH_RS11260	NC_015948.1	2235749	2236498	-	750	705	1447	1253	1523	1296	1327	832	928	1092	1147	488	888	1063	1206	1145	995	968	1001	1265	1275
HAH_RS11265	NC_015948.1	2236641	2237552	+	912	1496	2973	2740	1512	2617	1461	2009	1865	1326	1565	679	1947	2464	2501	2155	2308	2369	2174	2911	2653
HAH_RS11270	NC_015948.1	2237674	2239983	+	2310	69692	151078	151997	97004	28130	101337	4726	5260	144854	128566	70711	9117	10857	16228	17096	9061	12411	10351	13603	137308
HAH_RS11275	NC_015948.1	2240042	2240944	+	903	2359	4366	4253	3118	4681	2961	2568	3014	1994	2724	1149	2299	3113	3214	3272	2612	2802	2730	3448	4394
HAH_RS11280	NC_015948.1	2241089	2242141	+	1053	5244	10513	8801	8523	5879	7246	7252	6363	9109	8818	4266	5436	7328	5596	4603	6749	6876	6203	8018	8818
HAH_RS11285	NC_015948.1	2242256	2242840	+	585	1319	2687	3701	3113	5981	2297	2107	2358	2377	3090	1102	2031	2267	3022	3450	2003	2264	2050	2694	3865
HAH_RS11290	NC_015948.1	2242906	2245059	+	2154	8656	17968	20212	14925	16615	13729	7886	8753	17106	15639	7559	9751	11562	13601	13939	10804	11880	10668	13462	18772
HAH_RS11295	NC_015948.1	2245105	2245476	+	372	900	1830	1701	1859	1520	1624	2727	2485	786	1920	527	1423	1893	1651	1413	2046	1639	1707	2146	1684
HAH_RS11300	NC_015948.1	2245550	2246152	+	603	1518	3124	2480	3476	1354	2431	5079	4045	1816	3289	1117	2258	2784	2007	1613	2900	2637	2560	3479	2747
HAH_RS11305	NC_015948.1	2246224	2247411	+	1188	35403	72129	65001	50243	35018	39949	147666	135269	37098	42601	18039	124354	140366	164190	117654	130530	150175	126796	174100	56044
HAH_RS11310	NC_015948.1	2247462	2248067	+	606	3483	6880	5883	8360	4316	7163	12208	11418	5672	6944	2867	7331	9582	9321	6142	8717	9330	8774	11760	6071
HAH_RS11315	NC_015948.1	2248119	2249999	-	1881	2647	4859	3616	3523	1297	3207	13289	12513	2726	3000	1366	4307	5567	3657	3626	4359	5008	5060	6520	4094
HAH_RS11320	NC_015948.1	2250199	2250441	-	243	3692	8554	7724	21336	2657	20205	10879	12149	12978	23781	9791	7951	9086	10728	20889	6207	7277	9902	9593	6559
HAH_RS11325	NC_015948.1	2250694	2251092	+	399	4701	10339	10656	1583	10101	1331	7533	4869	2645	2570	894	8940	8379	9648	9072	12218	8915	8314	12142	10094
HAH_RS11330	NC_015948.1	2251095	2251829	-	735	2465	5353	5656	5593	4997	4976	6417	6218	3269	5000	1804	4168	4891	4863	5336	5836	4692	4626	5906	5082
HAH_RS11335	NC_015948.1	2251863	2252648	-	786	1346	3002	2456	13338	1390	13226	3807	5013	10510	11915	5375	1669	2448	1576	1265	1909	2265	2050	2850	2501
HAH_RS11340	NC_015948.1	2252658	2252927	-	270	121	142	151	7877	161	7987	996	2114	5220	7106	2776	257	447	431	269	250	467	394	389	303
HAH_RS11345	NC_015948.1	2253177	2253881	+	705	7478	17294	20103	11302	18828	9738	7916	8327	14568	13713	6099	10340	10881	13646	14195	12692	10924	10481	13465	19734
HAH_RS11350	NC_015948.1	2253975	2254880	+	906	3788	7922	7142	5536	6358	4921	5879	6145	3368	4955	1859	4200	5588	5132	4751	5629	4964	4888	6135	7338
HAH_RS11355	NC_015948.1	2254936	2255745	-	810	2457	5346	4817	3939	3273	3435	2549	2052	4975	5170	2184	2497	2769	2525	2574	3095	2883	2669	3616	4972
HAH_RS11360	NC_015948.1	2255921	2257480	+	1560	41001	99180	63820	28647	73943	32980	41632	36549	25906	24454	12678	94629	95830	104715	113391	115731	109303	89405	145474	60535
HAH_RS11365	NC_015948.1	2257554	2257985	-	432	1031	2368	2602	1606	655	1307	5944	3922	1934	3912	1179	4352	5115	4726	3333	6125	3227	4071	4970	1896
HAH_RS19980	NC_015948.1	2258012	2258185	-	174	376	1161	1131	1206	67	996	2142	1095	1491	3687	863	1555	1804	1702	992	3012	1014	1310	1968	780
HAH_RS11370	NC_015948.1	2258294	2260138	+	1845	9208	21006	19051	22827	6421	21330	18213	13207	21299	21423	10494	13735	17600	12921	9119	17824	15539	14325	20012	16111
HAH_RS11375	NC_015948.1	2260406	2261296	+	891	40958	80101	76074	90928	84100	80496	112310	117781	70098	86669	35991	75213	80339	87273	84431	85805	85282	80291	103524	77961
HAH_RS11380	NC_015948.1	2261334	2262032	+	699	1018	1520	1565	1922	2283	1804	7265	9504	960	1967	709	1997	4163	3362	2122	2272	3208	3112	3638	1621
