# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-s" "2" "-t" "gene" "-g" "locus_tag" "-a" "00_genome/genomic.gff" "-o" "HCA_featureCounts_2022.txt" "03_aligned_sorted/10_WT_B_S18_sorted.bam" "03_aligned_sorted/11_WT_C_S19_sorted.bam" "03_aligned_sorted/12_WT_D_S20_sorted.bam" "03_aligned_sorted/13_TRMB_A_S21_sorted.bam" "03_aligned_sorted/14_TRMB_B_S22_sorted.bam" "03_aligned_sorted/15_TRMB_C_S23_sorted.bam" "03_aligned_sorted/16_TRMB_D_S24_sorted.bam" "03_aligned_sorted/17_WT_ref_S25_sorted.bam" "03_aligned_sorted/1_WT_A_S9_sorted.bam" "03_aligned_sorted/2_WT_B_S10_sorted.bam" "03_aligned_sorted/3_WT_C_S11_sorted.bam" "03_aligned_sorted/4_WT_D_S12_sorted.bam" "03_aligned_sorted/5_TRMB_A_S13_sorted.bam" "03_aligned_sorted/6_TRMB_B_S14_sorted.bam" "03_aligned_sorted/7_TRMB_C_S15_sorted.bam" "03_aligned_sorted/8_TRMB_D_S16_sorted.bam" "03_aligned_sorted/9_WT_A_S17_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	03_aligned_sorted/10_WT_B_S18_sorted.bam	03_aligned_sorted/11_WT_C_S19_sorted.bam	03_aligned_sorted/12_WT_D_S20_sorted.bam	03_aligned_sorted/13_TRMB_A_S21_sorted.bam	03_aligned_sorted/14_TRMB_B_S22_sorted.bam	03_aligned_sorted/15_TRMB_C_S23_sorted.bam	03_aligned_sorted/16_TRMB_D_S24_sorted.bam	03_aligned_sorted/17_WT_ref_S25_sorted.bam	03_aligned_sorted/1_WT_A_S9_sorted.bam	03_aligned_sorted/2_WT_B_S10_sorted.bam	03_aligned_sorted/3_WT_C_S11_sorted.bam	03_aligned_sorted/4_WT_D_S12_sorted.bam	03_aligned_sorted/5_TRMB_A_S13_sorted.bam	03_aligned_sorted/6_TRMB_B_S14_sorted.bam	03_aligned_sorted/7_TRMB_C_S15_sorted.bam	03_aligned_sorted/8_TRMB_D_S16_sorted.bam	03_aligned_sorted/9_WT_A_S17_sorted.bam
HAH_RS10980	NC_015948.1	2178483	2179253	-	771	1133	1298	939	840	875	890	1015	3593	1514	1472	869	1006	1431	1798	1457	1862	1290
HAH_RS10985	NC_015948.1	2179420	2180328	+	909	10745	11410	8349	9919	9241	9027	11537	12230	15937	12686	9386	8774	13091	11107	11152	12959	13742
HAH_RS10990	NC_015948.1	2180428	2181645	+	1218	3330	3283	2500	2920	2759	2507	3392	3781	4740	5069	3234	3414	4920	3651	4521	4369	3330
HAH_RS10995	NC_015948.1	2181647	2181955	-	309	144	178	86	54	56	56	69	110	38	61	112	33	53	51	95	69	135
HAH_RS11000	NC_015948.1	2182169	2182750	+	582	7730	7156	5323	6809	6489	5633	7228	10377	10058	8244	5017	6785	9115	7509	8201	8385	8802
HAH_RS11005	NC_015948.1	2182797	2184812	+	2016	1859	1891	1345	966	1034	796	993	3361	3393	3481	2614	2208	3202	2350	3683	3040	1972
HAH_RS11010	NC_015948.1	2184832	2185581	-	750	1751	2259	1511	981	921	822	1042	4118	2072	2346	1782	1441	2202	1875	2525	2130	1946
HAH_RS11015	NC_015948.1	2185763	2186449	+	687	2218	2662	1721	1630	1630	1380	1694	4651	2451	2619	2040	1726	2506	2139	2831	2321	2307
HAH_RS11020	NC_015948.1	2186548	2187885	+	1338	7991	9261	5233	1934	2200	1996	2268	18941	8857	7420	4519	5033	7872	7344	7490	7777	9099
HAH_RS11025	NC_015948.1	2188178	2188699	+	522	68	64	31	34	41	24	32	183	127	103	84	59	89	66	126	100	76
HAH_RS11030	NC_015948.1	2188820	2189527	-	708	2155	2371	2215	2471	2559	2448	2707	4695	1816	2125	2091	1242	2040	1797	2887	2225	2063
HAH_RS11035	NC_015948.1	2189580	2190128	-	549	141	201	73	68	56	48	71	238	172	144	93	120	140	148	124	139	174
HAH_RS11040	NC_015948.1	2190183	2190752	-	570	69	55	77	115	101	104	128	110	97	104	88	91	116	83	128	121	73
HAH_RS11045	NC_015948.1	2190877	2191107	+	231	105	136	111	79	68	46	80	127	140	103	66	68	70	77	100	97	138
HAH_RS11050	NC_015948.1	2191108	2191482	+	375	266	371	208	148	201	149	215	283	299	302	200	146	273	240	278	286	296
HAH_RS11055	NC_015948.1	2191526	2193052	+	1527	5037	6891	3775	3440	3159	3185	4019	9250	6739	5543	3779	4053	5466	5944	5392	5923	5645
HAH_RS11060	NC_015948.1	2193053	2194033	-	981	1734	2379	1250	271	278	310	312	5096	2927	2857	1869	1886	3297	3418	3104	3383	2011
HAH_RS11065	NC_015948.1	2194037	2194789	-	753	2140	2975	1533	355	339	344	400	5735	3354	3211	2196	2216	3645	3667	3548	3604	2511
HAH_RS11070	NC_015948.1	2194786	2195466	-	681	1901	2332	1249	309	311	282	325	4510	2624	2502	1678	1807	2571	2729	2752	2998	1950
HAH_RS11075	NC_015948.1	2195470	2196267	-	798	5082	6259	3684	1631	1500	1375	1544	12536	8449	7503	5394	5011	7681	8083	8471	8385	6166
HAH_RS11080	NC_015948.1	2196332	2196820	-	489	2464	2444	1966	3340	2769	2412	3600	3496	3778	3411	2120	2561	3708	3073	3103	3525	2888
HAH_RS11085	NC_015948.1	2196949	2198862	+	1914	2070	2300	1282	1649	1549	1551	2131	4344	1374	1154	832	798	1053	992	1008	1025	2319
HAH_RS11090	NC_015948.1	2199034	2201286	+	2253	36345	60904	21011	19659	21278	21023	25819	61572	38262	30422	21315	19386	28482	30759	30610	29584	42002
HAH_RS11095	NC_015948.1	2201571	2201831	-	261	5109	5542	2939	1850	1983	1665	1944	3959	4314	3426	2709	2438	2716	3628	2771	4158	5559
HAH_RS11100	NC_015948.1	2202165	2202827	-	663	7326	9334	6988	10838	9020	9307	12233	7616	8477	8177	7194	4769	7971	7738	8604	8396	8110
HAH_RS11105	NC_015948.1	2203226	2203921	-	696	1937	1918	1298	1755	1837	1695	2189	4005	3047	2856	1834	2452	2944	2636	2612	2723	2237
HAH_RS11110	NC_015948.1	2203992	2205374	-	1383	1562	1687	1158	1428	1316	1345	1777	2501	2085	1907	1246	1526	1970	1808	1811	2085	1825
HAH_RS11115	NC_015948.1	2205663	2207012	-	1350	1258	1903	784	1400	1417	1515	1786	1152	1158	1297	1136	717	1063	1348	1429	1427	1185
HAH_RS11120	NC_015948.1	2207091	2208494	-	1404	66	62	52	40	50	24	33	104	22	27	18	12	18	26	33	20	65
HAH_RS11125	NC_015948.1	2208654	2209625	+	972	304	469	244	199	224	233	262	632	132	183	218	112	141	178	201	188	262
HAH_RS11130	NC_015948.1	2209647	2210570	-	924	1129	1234	691	819	752	730	876	1592	1597	1489	1051	1003	1504	1190	1411	1427	1274
HAH_RS11135	NC_015948.1	2210767	2211426	+	660	22	33	8	8	4	6	7	117	29	18	20	20	24	34	17	19	8
HAH_RS11140	NC_015948.1	2211423	2212187	+	765	78	77	36	34	24	25	23	146	71	72	64	48	53	57	54	66	78
HAH_RS11145	NC_015948.1	2212188	2213696	+	1509	59	58	43	25	19	36	47	234	61	50	36	29	72	89	71	62	49
HAH_RS11150	NC_015948.1	2213905	2214300	+	396	73	94	51	31	35	21	32	100	62	45	47	41	48	44	57	65	90
HAH_RS11155	NC_015948.1	2214354	2215046	-	693	8077	12859	5648	3412	3641	2859	3262	13488	15156	14817	12423	9166	13544	11077	16297	12060	9546
HAH_RS11160	NC_015948.1	2215046	2215780	-	735	10193	18676	6893	4338	4646	3902	4476	17422	21884	20035	17133	11314	19137	15975	21998	16469	12741
HAH_RS11165	NC_015948.1	2215850	2216188	-	339	3341	4334	2290	1592	1718	1183	1537	3283	4794	3950	3173	2899	3593	2739	3880	3497	3597
HAH_RS11170	NC_015948.1	2216266	2217009	+	744	218	317	184	78	78	86	90	640	143	141	177	120	111	172	218	169	237
HAH_RS11175	NC_015948.1	2217051	2217638	+	588	960	1301	694	727	595	618	755	1659	1604	1561	982	854	1551	1300	1557	1319	1224
HAH_RS11180	NC_015948.1	2217671	2218567	+	897	1609	1732	1107	952	881	887	984	2188	2155	2248	1363	1357	2224	1859	2043	1967	1646
HAH_RS11185	NC_015948.1	2218564	2219214	+	651	556	556	364	196	187	169	214	647	753	904	563	477	781	542	563	630	586
HAH_RS11190	NC_015948.1	2219298	2220170	-	873	394	437	225	293	294	267	515	786	184	178	148	100	160	227	140	164	318
HAH_RS11195	NC_015948.1	2220167	2221234	-	1068	879	1349	475	533	513	442	941	1631	594	504	377	351	413	526	380	458	904
HAH_RS11200	NC_015948.1	2221324	2221998	+	675	141	138	80	106	89	108	85	221	156	177	112	106	151	139	142	137	138
HAH_RS11205	NC_015948.1	2221995	2222756	-	762	64	65	39	26	27	25	38	187	182	196	110	144	225	190	120	156	80
HAH_RS11210	NC_015948.1	2222906	2223394	-	489	14	13	18	9	6	10	7	17	11	12	10	5	8	21	13	4	17
HAH_RS11215	NC_015948.1	2223605	2224309	+	705	4952	5474	2009	649	660	563	591	1227	1341	1056	502	907	934	876	485	914	5227
HAH_RS11220	NC_015948.1	2224442	2225377	-	936	245	281	103	63	71	71	61	480	513	446	300	451	579	485	411	494	316
HAH_RS11225	NC_015948.1	2225534	2226955	+	1422	4429	6633	2166	2099	2014	1810	2154	297	904	1187	1867	491	839	946	1978	976	4386
HAH_RS11230	NC_015948.1	2226950	2227594	-	645	50	63	43	40	42	36	38	108	54	57	60	34	57	66	75	62	84
HAH_RS11235	NC_015948.1	2227676	2229424	+	1749	9823	14730	4925	5601	5660	5395	5806	546	2346	2317	2403	974	1446	2129	3896	2141	10076
HAH_RS11240	NC_015948.1	2229421	2230344	+	924	4729	6491	2525	2848	2688	2824	3144	365	1323	1282	1280	509	780	972	1344	1024	5097
HAH_RS11245	NC_015948.1	2230341	2231603	+	1263	8744	13202	4320	4473	4183	4485	4588	448	2068	2079	2169	948	1378	1864	2776	1845	8492
HAH_RS11250	NC_015948.1	2231600	2233174	+	1575	13078	21942	7218	6006	6002	6207	6640	1174	3437	3758	3591	1790	2630	3409	4366	3349	13481
HAH_RS11255	NC_015948.1	2233182	2235752	-	2571	2986	4132	2353	2295	2389	2386	2421	6444	5183	4635	2837	2945	4687	4982	4267	4887	3493
HAH_RS11260	NC_015948.1	2235749	2236498	-	750	487	684	415	402	455	412	478	1171	829	696	483	432	740	826	844	966	550
HAH_RS11265	NC_015948.1	2236641	2237552	+	912	1061	1407	870	596	605	552	673	1921	1594	1311	1058	1037	1354	1294	1409	1301	1215
HAH_RS11270	NC_015948.1	2237674	2239983	+	2310	72975	97986	50429	69176	72309	71943	85923	25040	29208	27176	15207	17632	26479	27151	20564	24687	82296
HAH_RS11275	NC_015948.1	2240042	2240944	+	903	2114	2705	1651	1038	960	903	1063	3892	2735	2853	2056	1755	2796	2441	2859	2643	2292
HAH_RS11280	NC_015948.1	2241089	2242141	+	1053	4465	5791	4288	4215	4009	4371	5463	5741	5407	5266	4376	3757	5526	5009	5785	5502	4741
HAH_RS11285	NC_015948.1	2242256	2242840	+	585	2299	2541	1895	1668	1680	1531	2090	5212	4516	3469	2210	2550	3590	3492	3109	3490	2955
HAH_RS11290	NC_015948.1	2242906	2245059	+	2154	9522	12391	6229	6775	6883	6881	8068	14290	15612	15032	9044	9917	15632	13990	13819	14496	11091
HAH_RS11295	NC_015948.1	2245105	2245476	+	372	1021	1292	942	521	491	323	464	1182	1601	1507	990	1039	1443	1003	1385	1350	1234
HAH_RS11300	NC_015948.1	2245550	2246152	+	603	1593	1770	1246	1054	1101	883	1135	1200	1723	1625	1135	1078	1467	1329	1665	1791	1683
HAH_RS11305	NC_015948.1	2246224	2247411	+	1188	28132	51401	20569	21483	22072	21357	23116	27955	58165	47237	43874	27152	41483	45453	51233	44286	34503
HAH_RS11310	NC_015948.1	2247462	2248067	+	606	1929	2385	1873	1740	1635	1378	1632	2554	2830	2588	2105	1420	2254	2216	2674	2447	2028
HAH_RS11315	NC_015948.1	2248119	2249999	-	1881	1368	2323	1346	512	504	432	526	1099	3175	1903	1518	1321	1947	1876	2422	2147	1672
HAH_RS11320	NC_015948.1	2250199	2250441	-	243	4108	8121	7526	2457	2036	1746	3116	2330	14465	4961	3346	4908	5962	4711	6145	6282	7148
HAH_RS11325	NC_015948.1	2250694	2251092	+	399	6041	7022	3943	1719	1688	1315	2107	7506	5220	3548	2505	3033	3354	4329	3211	4033	6744
HAH_RS11330	NC_015948.1	2251095	2251829	-	735	3359	3799	2322	2044	1836	1720	2110	4248	5458	4915	3140	3715	4670	4270	4186	4289	3728
HAH_RS11335	NC_015948.1	2251863	2252648	-	786	934	979	1051	2990	2265	2443	3314	1115	919	1081	1171	600	1071	929	1075	1047	995
HAH_RS11340	NC_015948.1	2252658	2252927	-	270	127	84	157	1134	765	822	1147	146	134	131	381	72	124	80	164	112	112
HAH_RS11345	NC_015948.1	2253177	2253881	+	705	7000	7678	4285	4358	4233	4890	5517	12159	9905	8355	5306	6385	8455	8737	7863	9688	8347
HAH_RS11350	NC_015948.1	2253975	2254880	+	906	3686	3662	3072	1843	1709	1694	1898	5471	4129	4457	3387	3135	4552	3762	4353	4464	3925
HAH_RS11355	NC_015948.1	2254936	2255745	-	810	1646	2002	1447	1520	1498	1393	1876	2916	1937	1683	1320	1107	1661	1520	1761	1686	1815
HAH_RS11360	NC_015948.1	2255921	2257480	+	1560	42648	107347	27014	27449	26621	23756	30275	72804	122668	88577	61164	53137	97138	86738	93614	96286	56079
HAH_RS11365	NC_015948.1	2257554	2257985	-	432	576	601	331	435	558	458	619	542	2685	2777	2938	1860	2571	1445	3641	1976	862
HAH_RS19980	NC_015948.1	2258012	2258185	-	174	192	229	102	298	469	340	515	48	706	674	573	397	561	298	663	468	204
HAH_RS11370	NC_015948.1	2258294	2260138	+	1845	6789	9716	5146	6952	6598	7379	8476	6011	8725	9484	7871	5516	9046	8133	8659	8664	7661
HAH_RS11375	NC_015948.1	2260406	2261296	+	891	53522	78270	33984	51439	46146	45943	57119	75008	105924	82047	61296	55670	85655	77294	88036	81250	68016
HAH_RS11380	NC_015948.1	2261334	2262032	+	699	1622	1646	1207	924	957	763	924	2139	2834	3555	3036	2069	3207	2272	3611	3054	1654
HAH_RS11385	NC_015948.1	2262027	2262743	-	717	4431	4996	3234	2482	2545	2227	2772	5390	4969	4234	3039	3235	4255	4520	4850	4870	4816
HAH_RS11390	NC_015948.1	2263031	2263228	+	198	331	785	220	275	261	210	349	675	687	845	393	454	841	621	768	541	348
HAH_RS11395	NC_015948.1	2263229	2263957	-	729	222	267	151	145	117	104	152	298	267	353	384	185	276	191	413	259	198
HAH_RS11400	NC_015948.1	2264340	2264412	-	73	440	235	274	181	222	104	183	441	501	374	272	340	310	224	347	365	377
HAH_RS11405	NC_015948.1	2264548	2264982	-	435	2909	3736	1952	1730	1679	1666	1952	5101	5176	4628	3169	3232	4351	3884	4771	4188	3249
HAH_RS11410	NC_015948.1	2264979	2265461	-	483	3615	4663	2589	2404	2400	2072	2844	9539	8043	7239	5556	4848	7658	5675	7926	6753	4462
HAH_RS11415	NC_015948.1	2265804	2267015	-	1212	20342	28277	13192	12749	12367	12167	14232	58640	43599	43060	29012	27944	44599	40367	48479	41850	24228
HAH_RS11420	NC_015948.1	2267018	2268448	-	1431	25172	35695	15737	15773	15069	14232	17501	73354	54119	51579	35241	32262	52244	51105	59629	52822	30302
HAH_RS11425	NC_015948.1	2268485	2269417	-	933	20734	24806	11935	11547	10653	9745	12617	44304	33821	31343	21612	22853	31465	31008	36287	33632	24158
HAH_RS11430	NC_015948.1	2269543	2272350	-	2808	6350	7995	5735	5226	4986	4820	5965	11272	9329	8042	5898	6183	8691	8157	9300	8682	7207
HAH_RS11435	NC_015948.1	2272458	2272649	+	192	801	944	861	1180	1146	792	1213	1489	689	523	711	362	405	344	576	521	901
HAH_RS11440	NC_015948.1	2272692	2273096	+	405	1183	1180	1081	777	811	632	908	1657	1473	1394	1245	1052	1297	1048	1498	1261	1309
HAH_RS11445	NC_015948.1	2273124	2273546	+	423	302	333	347	257	249	222	244	553	521	498	474	321	470	344	582	521	397
HAH_RS11450	NC_015948.1	2273573	2276248	-	2676	4942	7791	3443	5752	6509	6898	7608	6014	13542	12348	9974	7984	12785	11697	15075	11804	6538
HAH_RS11455	NC_015948.1	2276262	2277518	-	1257	1760	2638	1374	2872	3338	3589	4167	2081	4492	4524	3808	2946	4626	4041	5723	4407	2180
HAH_RS11460	NC_015948.1	2277588	2277956	-	369	7	12	2	2	2	5	4	20	14	9	9	15	8	4	7	10	13
HAH_RS11465	NC_015948.1	2278361	2278873	+	513	134	193	100	45	28	37	45	362	253	280	286	172	263	186	335	234	184
HAH_RS11470	NC_015948.1	2278870	2279343	+	474	27	32	12	7	7	4	14	46	42	32	42	31	32	23	42	51	22
HAH_RS11475	NC_015948.1	2279336	2281195	+	1860	109	142	93	75	77	66	65	293	284	222	195	145	207	142	152	212	163
HAH_RS11480	NC_015948.1	2281192	2282937	+	1746	102	116	60	92	114	87	104	190	167	148	114	83	135	111	98	166	119
HAH_RS11485	NC_015948.1	2282972	2283433	+	462	26	23	14	6	8	11	7	24	34	25	13	17	20	25	16	18	27
HAH_RS11490	NC_015948.1	2283414	2283809	+	396	15	7	7	3	3	3	9	24	15	11	8	9	15	8	11	15	8
HAH_RS11495	NC_015948.1	2283818	2284678	+	861	5	11	8	3	6	5	6	31	27	14	4	22	18	16	12	9	14
HAH_RS11500	NC_015948.1	2284675	2287668	+	2994	62	80	41	42	35	25	25	181	121	106	64	61	79	79	94	89	58
HAH_RS11505	NC_015948.1	2287719	2288147	+	429	746	1070	466	457	473	395	525	895	1215	995	720	734	971	971	951	965	975
HAH_RS11510	NC_015948.1	2288144	2289034	+	891	1875	2637	1291	1206	1149	1176	1385	2099	2979	2585	1777	1925	2493	2327	2296	2420	2202
HAH_RS11515	NC_015948.1	2289084	2290268	+	1185	1128	1555	1045	1064	945	1097	1203	1201	1004	1063	883	701	952	1000	1141	1123	1103
HAH_RS11520	NC_015948.1	2290341	2291426	+	1086	2237	2840	1657	1490	1380	1202	1402	3056	3622	3415	2125	2372	3724	3066	2813	3185	2521
HAH_RS19985	NC_015948.1	2291427	2291597	-	171	764	711	560	496	494	399	508	982	719	675	424	583	565	584	670	758	763
HAH_RS11525	NC_015948.1	2291717	2292853	+	1137	4515	5300	3101	2681	2158	2164	3101	13409	5187	5429	3036	3555	5388	5573	4111	5580	5079
HAH_RS11530	NC_015948.1	2292886	2293356	+	471	933	1292	679	536	531	442	613	2218	1402	1400	896	884	1320	1204	1148	1303	1118
HAH_RS11535	NC_015948.1	2293446	2294066	+	621	3163	4769	2475	1165	1069	848	1228	2856	3826	3317	2837	2204	3339	2926	3267	3304	3506
HAH_RS11540	NC_015948.1	2294137	2294922	+	786	3797	4321	2890	3351	2930	2627	3776	4198	4347	4411	3193	2599	4059	2880	3003	3893	4353
HAH_RS11545	NC_015948.1	2294923	2296026	+	1104	1180	1590	865	1176	982	1030	1182	1623	1735	2028	1454	1011	1845	1366	1358	1779	1382
HAH_RS11550	NC_015948.1	2296057	2296569	-	513	2947	3830	1744	1838	1993	1879	2235	2322	4055	3464	2353	2505	3377	3153	3245	3418	3263
HAH_RS19990	NC_015948.1	2296566	2296724	-	159	404	329	219	211	255	150	308	198	460	282	196	235	242	204	272	357	305
HAH_RS11555	NC_015948.1	2296830	2297627	+	798	1809	1866	1487	671	664	620	729	1963	1804	1949	1320	1596	1767	1641	1955	1972	1789
HAH_RS11560	NC_015948.1	2297697	2299619	+	1923	1281	1476	980	526	470	422	476	1379	1738	1603	1063	1118	1489	1490	1650	1652	1453
HAH_RS11565	NC_015948.1	2299892	2301346	+	1455	214	189	165	379	207	214	292	2781	352	287	231	246	303	284	326	351	246
HAH_RS11570	NC_015948.1	2301406	2301744	-	339	100	145	77	71	64	51	50	144	110	107	83	68	91	89	122	90	119
HAH_RS11575	NC_015948.1	2301893	2303611	+	1719	3398	4217	3045	2910	2794	2548	3208	5265	5090	4894	3115	3224	4936	4626	4756	4690	4220
HAH_RS11580	NC_015948.1	2303680	2305497	+	1818	5601	5817	4985	5743	5242	5089	6009	9285	9035	9635	6432	6313	9797	6893	8997	8381	6133
HAH_RS11585	NC_015948.1	2305878	2306720	+	843	97	82	54	41	28	32	35	126	123	82	70	70	78	79	91	77	90
HAH_RS11590	NC_015948.1	2306977	2307942	+	966	7351	7580	5977	4135	3411	3755	3418	18920	10743	8939	5837	6670	8623	10502	10593	11448	9227
HAH_RS11595	NC_015948.1	2308394	2309422	+	1029	996	1009	813	673	738	646	734	2399	1718	2012	1222	1312	1925	1700	1891	1833	1049
HAH_RS11600	NC_015948.1	2309459	2310148	+	690	1003	923	824	688	665	521	765	1302	1307	1155	874	769	1042	904	992	1296	1069
HAH_RS11605	NC_015948.1	2310233	2310649	+	417	1153	1066	847	348	327	272	327	1382	1236	1198	835	803	1263	937	1409	1256	1269
HAH_RS11610	NC_015948.1	2310686	2311852	-	1167	5701	6844	3725	3703	3719	3447	4247	8316	7474	7171	4616	5564	6910	6589	7026	7007	6146
HAH_RS11615	NC_015948.1	2312081	2312884	-	804	34921	50364	14627	9258	8737	8570	10065	11270	17275	12293	7483	9242	10766	10739	8090	10038	41767
HAH_RS11620	NC_015948.1	2312911	2313792	-	882	25890	33578	9846	4268	3663	3395	3726	3427	7721	5133	2668	4533	3614	4105	1737	4029	29316
HAH_RS11625	NC_015948.1	2313792	2315102	-	1311	38376	54179	14701	6489	5583	5228	5384	5725	11692	7715	4106	6597	5490	6481	2838	5914	43402
HAH_RS11630	NC_015948.1	2315099	2315914	-	816	26602	34962	9572	3796	3361	2681	3044	2909	6482	4244	2199	3493	2881	3097	1154	3176	30810
HAH_RS11635	NC_015948.1	2316044	2316541	+	498	31	69	25	8	9	10	11	39	17	20	14	12	15	10	19	20	48
HAH_RS11640	NC_015948.1	2316642	2317829	+	1188	1316	1297	1128	1071	1007	941	1291	2713	1830	1616	949	1170	1674	1707	1704	1946	1531
HAH_RS11645	NC_015948.1	2317956	2319596	+	1641	591	747	421	346	371	304	337	1365	671	604	483	409	552	564	646	565	605
HAH_RS11650	NC_015948.1	2319660	2320199	-	540	814	1012	737	499	542	477	555	805	760	660	601	528	633	696	714	805	815
HAH_RS11655	NC_015948.1	2320305	2320904	-	600	544	551	447	402	317	360	408	661	475	535	417	379	458	486	512	563	555
HAH_RS11660	NC_015948.1	2320901	2321557	-	657	551	568	400	457	392	417	465	635	546	565	399	357	505	490	569	506	602
HAH_RS11665	NC_015948.1	2321854	2322105	+	252	995	1149	754	656	653	532	755	804	922	738	570	545	730	671	707	724	1065
HAH_RS11670	NC_015948.1	2322102	2322572	+	471	1703	2093	1365	1135	1120	1039	1223	1359	1886	1620	1268	1160	1580	1369	1604	1580	1939
HAH_RS11675	NC_015948.1	2322886	2323905	+	1020	109	94	67	72	80	58	76	933	97	100	83	46	104	98	94	83	82
HAH_RS11680	NC_015948.1	2323912	2326344	+	2433	1089	1219	748	437	561	401	481	4901	1353	1232	874	895	1129	1094	1114	1143	1169
HAH_RS11685	NC_015948.1	2326612	2327256	+	645	394	659	263	230	213	175	228	546	674	676	421	336	611	454	548	457	498
HAH_RS11690	NC_015948.1	2327376	2328965	+	1590	4366	3256	4735	12277	11223	8819	17018	1185	2064	2191	1412	1579	1962	3125	1490	3234	4722
HAH_RS11695	NC_015948.1	2329022	2330401	+	1380	1899	2147	1563	2004	1935	1772	2302	2289	2763	2442	1690	1802	2566	2097	2499	2313	2285
HAH_RS11700	NC_015948.1	2330516	2331706	-	1191	383	487	325	213	232	247	289	483	441	495	283	297	422	454	435	474	429
HAH_RS11705	NC_015948.1	2331786	2332850	-	1065	221	241	225	146	131	118	144	440	330	351	221	212	350	254	309	223	258
HAH_RS11710	NC_015948.1	2333000	2334523	+	1524	514	430	405	438	436	358	477	670	1052	909	490	471	963	723	628	556	580
HAH_RS11715	NC_015948.1	2334642	2335190	+	549	1356	1567	1049	880	804	753	979	3864	2497	2377	1462	1718	2516	2300	2294	2391	1738
HAH_RS11720	NC_015948.1	2335209	2335511	-	303	261	336	182	99	109	79	113	339	237	176	116	125	197	200	201	186	289
HAH_RS11725	NC_015948.1	2335629	2336048	+	420	668	671	469	414	406	371	505	1253	950	1026	664	714	989	770	752	937	689
HAH_RS11730	NC_015948.1	2336111	2337142	+	1032	2427	3759	1700	2029	2005	1941	2414	4386	3123	2658	1857	1973	2541	2831	3396	2863	3045
HAH_RS11735	NC_015948.1	2337256	2338569	-	1314	160	167	154	77	88	74	94	138	175	176	305	78	142	130	263	159	148
HAH_RS11740	NC_015948.1	2338689	2339522	-	834	412	3177	573	193	186	195	265	426	2095	1944	7665	442	1777	374	5069	1214	491
HAH_RS11745	NC_015948.1	2340090	2342558	-	2469	8088	142895	13405	8358	6085	7281	16002	12824	76522	42442	32623	9319	47179	9336	82063	44083	11293
HAH_RS11750	NC_015948.1	2342635	2343414	-	780	967	1248	826	669	615	704	776	1622	1704	1629	1170	1148	1503	1318	1551	1564	1122
HAH_RS11755	NC_015948.1	2343414	2343980	-	567	996	1191	889	766	761	688	878	1687	1731	1339	932	896	1379	1182	1394	1323	1218
HAH_RS11760	NC_015948.1	2344151	2346280	+	2130	75109	109165	61800	98238	92436	96147	111946	94072	132608	114034	76919	65716	115663	117927	112163	119601	88736
HAH_RS11765	NC_015948.1	2346281	2347108	+	828	2769	3470	2244	3368	2918	2767	3206	4151	3988	4058	3102	2539	3992	3814	3756	4497	2937
HAH_RS11770	NC_015948.1	2347105	2347608	-	504	1464	1695	1143	1281	1321	975	1422	1182	1621	1357	755	1058	1191	1113	1094	1200	1617
HAH_RS11775	NC_015948.1	2347839	2348840	-	1002	537	729	434	401	358	414	569	952	706	718	578	410	720	671	832	662	612
HAH_RS11780	NC_015948.1	2348958	2349965	-	1008	1293	1494	968	1198	1149	1093	1288	3174	2571	2439	1438	1905	2385	2146	2473	2319	1618
HAH_RS11785	NC_015948.1	2350134	2350826	+	693	367	331	233	198	154	138	217	680	439	436	245	333	430	409	419	468	378
HAH_RS11790	NC_015948.1	2350816	2351145	+	330	194	196	157	93	86	96	104	356	316	263	170	235	301	276	263	294	225
HAH_RS11795	NC_015948.1	2351146	2351709	-	564	803	1048	546	345	401	324	433	1272	1238	1280	1116	754	1157	994	1319	1080	794
HAH_RS11800	NC_015948.1	2351714	2352481	-	768	1629	2371	1230	1116	1115	1059	1302	2636	2455	2415	2108	1510	2334	2056	2611	2127	1805
HAH_RS11805	NC_015948.1	2352533	2353276	-	744	828	1145	582	327	345	297	354	1210	1012	935	806	640	846	852	898	1069	890
HAH_RS11810	NC_015948.1	2353410	2354381	-	972	66	54	72	81	74	60	74	111	66	65	57	19	51	44	68	41	62
HAH_RS11815	NC_015948.1	2354486	2355511	+	1026	2043	2816	1472	1751	1816	1926	2015	2902	4149	3622	2442	2320	3595	3318	3491	3403	2470
HAH_RS11820	NC_015948.1	2355548	2356351	-	804	7156	7782	5413	8205	8199	8172	10126	9623	9183	8697	4923	6216	9494	8566	7216	9607	8224
HAH_RS11825	NC_015948.1	2356354	2356734	-	381	6421	7994	4730	6202	6358	5738	7136	12755	9125	8143	4720	6197	8491	8095	7105	8672	7960
HAH_RS11830	NC_015948.1	2356918	2357556	+	639	5424	6862	3419	4578	4169	4128	5082	6313	6328	6391	4484	4583	5909	6069	5318	6349	5556
HAH_RS11835	NC_015948.1	2357550	2358473	+	924	2590	2277	2390	2774	2650	3136	5832	2826	4876	3530	2836	1481	2602	1813	1315	3148	3254
HAH_RS11840	NC_015948.1	2358464	2359267	+	804	3901	4304	3226	4307	3900	4475	6443	4783	5887	4939	3681	2294	4155	3682	2486	4896	4591
